"Produto","Proteina","Carboidratos","Gramas","Fibras","Calorias","Cluster"
"Parsley",0.017241379310344827,0.0635593220338983,0.049442234278904235,0.0017021276595744683,0.0020161290322580645,"cluster_0"
"Parsnips",0.008620689655172414,0.09322033898305085,0.15630365333748567,0.012765957446808512,0.09576612903225806,"cluster_0"
"Peas",0.01293103448275862,0.05508474576271186,0.10032862430680015,0.00042553191489361707,0.06653225806451613,"cluster_0"
"Fresh, steamed peas",0.021551724137931036,0.05084745762711865,0.10032862430680015,0.009361702127659575,0.07056451612903225,"cluster_0"
"Frozen peas",0.021551724137931036,0.05084745762711865,0.10032862430680015,0.007659574468085107,0.13004032258064516,"cluster_0"
"Split cooked peas",0.034482758620689655,0.08898305084745763,0.10032862430680015,0.0017021276595744683,0.1159274193548387,"cluster_0"
"heated peas",0.01293103448275862,0.0423728813559322,0.10032862430680015,0.00425531914893617,0.05342741935483871,"cluster_0"
"Peppers canned",0.017241379310344827,0.00847457627118644,0.03722950067220921,0.0017021276595744683,0.010080645161290322,"cluster_0"
"Peppers Raw, green, sweet",0.004310344827586207,0.025423728813559324,0.10032862430680015,0.005957446808510638,0.025201612903225805,"cluster_0"
"Peppers with beef and crumbs",0.08189655172413793,0.1016949152542373,0.15121501433469606,0.00425531914893617,0.2570564516129032,"cluster_1"
"Potatoes, baked",0.008620689655172414,0.09322033898305085,0.10032862430680015,0.002127659574468085,0.10080645161290322,"cluster_0"
"Potatoes Mashed with milk and butter",0.017241379310344827,0.11864406779661017,0.202101404362592,0.002978723404255319,0.2318548387096774,"cluster_1"
"Potatoes, pan-tried",0.017241379310344827,0.13983050847457626,0.10032862430680015,0.0017021276595744683,0.2701612903225806,"cluster_1"
"Scalloped with cheese potatoes",0.02586206896551724,0.059322033898305086,0.10032862430680015,0.0017021276595744683,0.1461693548387097,"cluster_0"
"Steamed potatoes before peeling",0.008620689655172414,0.08050847457627118,0.10032862430680015,0.0017021276595744683,0.08064516129032258,"cluster_0"
"Potato chips",0.004310344827586207,0.0423728813559322,0.018910400262166678,0.0017021276595744683,0.11088709677419355,"cluster_0"
"Radishes",0.017241379310344827,0.00847457627118644,0.049442234278904235,0.001276595744680851,0.010080645161290322,"cluster_0"
"Rutabagas",0.017241379310344827,0.03389830508474576,0.10032862430680015,0.005957446808510638,0.03225806451612903,"cluster_0"
"Soybeans",0.09482758620689655,0.0847457627118644,0.202101404362592,0.013617021276595746,0.2620967741935484,"cluster_1"
"Spinach",0.01293103448275862,0.012711864406779662,0.10032862430680015,0.00425531914893617,0.026209677419354836,"cluster_0"
"Squash",0.004310344827586207,0.03389830508474576,0.21227868236817116,0.002553191489361702,0.035282258064516125,"cluster_0"
"Winter, mashed",0.017241379310344827,0.09745762711864407,0.202101404362592,0.011063829787234043,0.09576612903225806,"cluster_0"
"Sweet potatoes",0.008620689655172414,0.15254237288135594,0.11050590231237932,0.00425531914893617,0.15625,"cluster_0"
"Candied",0.008620689655172414,0.3389830508474576,0.176658209348644,0.006382978723404256,0.23689516129032256,"cluster_1"
"Tomatoes",0.008620689655172414,0.038135593220338986,0.24281051638490872,0.00425531914893617,0.05040322580645161,"cluster_0"
